Criterion,SAT,Gender,LFR_Score,Predicted_Admission
min_discrimination,400,M,0.3233109678385452,No
min_discrimination,400,F,0.31426486407205695,No
min_discrimination,410,M,0.3248189800389781,No
min_discrimination,410,F,0.31500678087863976,No
min_discrimination,420,M,0.3264429569131535,No
min_discrimination,420,F,0.3158151413451405,No
min_discrimination,430,M,0.3281882889164422,No
min_discrimination,430,F,0.31669499784181543,No
min_discrimination,440,M,0.3300599814683789,No
min_discrimination,440,F,0.317651610563446,No
min_discrimination,450,M,0.33206252397014463,No
min_discrimination,450,F,0.31869041964439737,No
min_discrimination,460,M,0.3341997481485458,No
min_discrimination,460,F,0.3198170083908487,No
min_discrimination,470,M,0.3364746782985062,No
min_discrimination,470,F,0.321037056520663,No
min_discrimination,480,M,0.33888937694919147,No
min_discrimination,480,F,0.32235628236334474,No
min_discrimination,490,M,0.3414447904647898,No
min_discrimination,490,F,0.32378037310350577,No
min_discrimination,500,M,0.344140600044185,No
min_discrimination,500,F,0.3253149023668709,No
min_discrimination,510,M,0.346975084421967,No
min_discrimination,510,F,0.32696523476313794,No
min_discrimination,520,M,0.3499450012012568,No
min_discrimination,520,F,0.3287364174277426,No
min_discrimination,530,M,0.3530454940658641,No
min_discrimination,530,F,0.33063305915316776,No
min_discrimination,540,M,0.35627003302912436,No
min_discrimination,540,F,0.332659198371188,No
min_discrimination,550,M,0.3596103943006247,No
min_discrimination,550,F,0.3348181620318017,No
min_discrimination,560,M,0.3630566852427374,No
min_discrimination,560,F,0.3371124183011104,No
min_discrimination,570,M,0.3665974182440026,No
min_discrimination,570,F,0.3395434269323169,No
min_discrimination,580,M,0.370219635208331,No
min_discrimination,580,F,0.3421114920977161,No
min_discrimination,590,M,0.37390908185900856,No
min_discrimination,590,F,0.3448156233346869,No
min_discrimination,600,M,0.3776504283511052,No
min_discrimination,600,F,0.3476534109706066,No
min_discrimination,610,M,0.38142752998425794,No
min_discrimination,610,F,0.3506209228564621,No
min_discrimination,620,M,0.38522371934098243,No
min_discrimination,620,F,0.35371262936203246,No
min_discrimination,630,M,0.38902211917002455,No
min_discrimination,630,F,0.3569213632821795,No
min_discrimination,640,M,0.39280596398286205,No
min_discrimination,640,F,0.3602383205122788,No
min_discrimination,650,M,0.3965589177682097,No
min_discrimination,650,F,0.36365310604538226,No
min_discrimination,660,M,0.4002653755104037,No
min_discrimination,660,F,0.3671538280459431,No
min_discrimination,670,M,0.4039107372933264,No
min_discrimination,670,F,0.37072724054076966,No
min_discrimination,680,M,0.4074816455711989,No
min_discrimination,680,F,0.37435893276823407,No
min_discrimination,690,M,0.4109661785145576,No
min_discrimination,690,F,0.3780335606201436,No
min_discrimination,700,M,0.41435399497587305,No
min_discrimination,700,F,0.3817351131076131,No
min_discrimination,710,M,0.41763642933296496,No
min_discrimination,710,F,0.3854472046029187,No
min_discrimination,720,M,0.4208065370421657,No
min_discrimination,720,F,0.38915338195704846,No
min_discrimination,730,M,0.42385909398642546,No
min_discrimination,730,F,0.39283743462783277,No
min_discrimination,740,M,0.4267905545074803,No
min_discrimination,740,F,0.3964836957716823,No
min_discrimination,750,M,0.42959897429528204,No
min_discrimination,750,F,0.4000773228705492,No
min_discrimination,760,M,0.4322839050578469,No
min_discrimination,760,F,0.40360454782175526,No
min_discrimination,770,M,0.4348462681441719,No
min_discrimination,770,F,0.4070528883772862,No
min_discrimination,780,M,0.4372882141110541,No
min_discrimination,780,F,0.4104113151936184,No
min_discrimination,790,M,0.4396129747023185,No
min_discrimination,790,F,0.4136703713276696,No
min_discrimination,800,M,0.44182471294526193,No
min_discrimination,800,F,0.4168222435723382,No
min_discrimination,810,M,0.443928376160584,No
min_discrimination,810,F,0.4198607873727191,No
min_discrimination,820,M,0.4459295557144883,No
min_discrimination,820,F,0.4227815090495454,No
min_discrimination,830,M,0.4478343563852351,No
min_discrimination,830,F,0.4255815105802688,No
min_discrimination,840,M,0.4496492773238082,No
min_discrimination,840,F,0.428259403206051,No
min_discrimination,850,M,0.451381105794805,No
min_discrimination,850,F,0.4308151966509562,No
min_discrimination,860,M,0.45303682420888897,No
min_discrimination,860,F,0.4332501708047236,No
min_discrimination,870,M,0.45462353040906206,No
min_discrimination,870,F,0.43556673640798466,No
min_discrimination,880,M,0.4561483707468131,No
min_discrimination,880,F,0.43776829067916245,No
min_discrimination,890,M,0.4576184851712358,No
min_discrimination,890,F,0.4398590730296909,No
min_discrimination,900,M,0.45904096334077626,No
min_discrimination,900,F,0.4418440251168273,No
